,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
23,2019-05-15,16.741835186402998,-51.52765355057537,33.934469239517036,16.741835186402998,16.741835186402998,-27.783572286863603,-27.783572286863603,-27.783572286863603,-0.0001340607297651634,-0.0001340607297651634,-0.0001340607297651634,-27.783438226133836,-27.783438226133836,-27.783438226133836,0.0,0.0,0.0,-11.041737100460605
24,2019-05-16,16.750987553383155,-54.40539057110224,28.860795774767155,16.750987553383155,16.750987553383155,-29.12032176714015,-29.12032176714015,-29.12032176714015,-0.6361153161207381,-0.6361153161207381,-0.6361153161207381,-28.48420645101941,-28.48420645101941,-28.48420645101941,0.0,0.0,0.0,-12.369334213756996
25,2019-05-17,16.76013992036331,-55.35357472486163,25.467188282427507,16.76013992036331,16.76013992036331,-30.174031989011905,-30.174031989011905,-30.174031989011905,-1.137620972362602,-1.137620972362602,-1.137620972362602,-29.036411016649303,-29.036411016649303,-29.036411016649303,0.0,0.0,0.0,-13.413892068648593
26,2019-05-20,16.787597021303778,-53.13640668385484,31.907585966168657,16.787597021303778,16.787597021303778,-29.09290866140927,-29.09290866140927,-29.09290866140927,0.6688321581625799,0.6688321581625799,0.6688321581625799,-29.761740819571845,-29.761740819571845,-29.761740819571845,0.0,0.0,0.0,-12.30531164010549
27,2019-05-21,16.796749388283935,-56.57546347972678,26.989593059504337,16.796749388283935,16.796749388283935,-29.987578041238397,-29.987578041238397,-29.987578041238397,-0.2938387474912231,-0.2938387474912231,-0.2938387474912231,-29.693739293747175,-29.693739293747175,-29.693739293747175,0.0,0.0,0.0,-13.190828652954462
28,2019-05-22,16.805901755264088,-56.50274214287621,27.961757184224965,16.805901755264088,16.805901755264088,-29.478223044633612,-29.478223044633612,-29.478223044633612,-0.00013406073057624718,-0.00013406073057624718,-0.00013406073057624718,-29.478088983903035,-29.478088983903035,-29.478088983903035,0.0,0.0,0.0,-12.672321289369524
29,2019-05-23,16.815054122244245,-52.91696158135054,26.16674009515159,16.815054122244245,16.815054122244245,-29.759169629283466,-29.759169629283466,-29.759169629283466,-0.636115316120724,-0.636115316120724,-0.636115316120724,-29.123054313162744,-29.123054313162744,-29.123054313162744,0.0,0.0,0.0,-12.944115507039221
30,2019-05-24,16.824206489224398,-56.39735630153146,29.100647227871054,16.824206489224398,16.824206489224398,-29.77685951959672,-29.77685951959672,-29.77685951959672,-1.137620972364583,-1.137620972364583,-1.137620972364583,-28.639238547232143,-28.639238547232143,-28.639238547232143,0.0,0.0,0.0,-12.952653030372321
31,2019-05-28,16.860815957145025,-52.998632794284504,30.380189560468285,16.860815957145025,16.860815957145025,-25.987229536874526,-25.987229536874526,-25.987229536874526,-0.29383874749286837,-0.29383874749286837,-0.29383874749286837,-25.693390789381652,-25.693390789381652,-25.693390789381652,0.0,0.0,0.0,-9.126413579729501
32,2019-05-29,16.86996832412518,-50.16581299677321,31.40437664564091,16.86996832412518,16.86996832412518,-24.784963511251238,-24.784963511251238,-24.784963511251238,-0.0001340607287600262,-0.0001340607287600262,-0.0001340607287600262,-24.78482945052248,-24.78482945052248,-24.78482945052248,0.0,0.0,0.0,-7.91499518712606
33,2019-05-30,16.879120691105335,-47.22963162610819,35.95055542625445,16.879120691105335,16.879120691105335,-24.4780083183017,-24.4780083183017,-24.4780083183017,-0.6361153161191324,-0.6361153161191324,-0.6361153161191324,-23.84189300218257,-23.84189300218257,-23.84189300218257,0.0,0.0,0.0,-7.5988876271963655
